,,RRI,RRI
99,15:33:52,1.65,1.65
,15:33:53,0,NaN
,15:33:54,0,NaN
,15:33:55,0,NaN
,15:33:56,0,NaN
100,15:33:57,1.666666667,1.666666667
,15:33:58,0,NaN
,15:33:59,0,NaN
,15:34:00,0,NaN
,15:34:01,0,NaN
102,15:34:02,1.7,1.7
,15:34:03,0,NaN
,15:34:04,0,NaN
,15:34:05,0,NaN
,15:34:06,0,NaN
,15:34:07,0,NaN
,15:34:08,0,NaN
,15:34:09,0,NaN
,15:34:10,0,NaN
,15:34:11,0,NaN
104,15:34:12,1.733333333,1.733333333
,15:34:13,0,NaN
,15:34:14,0,NaN
,15:34:15,0,NaN
,15:34:16,0,NaN
105,15:34:17,1.75,1.75
,15:34:18,0,NaN
,15:34:19,0,NaN
,15:34:20,0,NaN
,15:34:21,0,NaN
102,15:34:22,1.7,1.7
,15:34:23,0,NaN
,15:34:24,0,NaN
,15:34:25,0,NaN
,15:34:26,0,NaN
100,15:34:27,1.666666667,1.666666667
,15:34:28,0,NaN
,15:34:29,0,NaN
,15:34:30,0,NaN
,15:34:31,0,NaN
101,15:34:32,1.683333333,1.683333333
,15:34:33,0,NaN
,15:34:34,0,NaN
,15:34:35,0,NaN
,15:34:36,0,NaN
102,15:34:37,1.7,1.7
,15:34:38,0,NaN
,15:34:39,0,NaN
,15:34:40,0,NaN
,15:34:41,0,NaN
,15:34:42,0,NaN
,15:34:43,0,NaN
,15:34:44,0,NaN
,15:34:45,0,NaN
,15:34:46,0,NaN
101,15:34:47,1.683333333,1.683333333
,15:34:48,0,NaN
,15:34:49,0,NaN
,15:34:50,0,NaN
,15:34:51,0,NaN
,15:34:52,0,NaN
,15:34:53,0,NaN
,15:34:54,0,NaN
,15:34:55,0,NaN
,15:34:56,0,NaN
,15:34:57,0,NaN
,15:34:58,0,NaN
,15:34:59,0,NaN
,15:35:00,0,NaN
,15:35:01,0,NaN
103,15:35:02,1.716666667,1.716666667
,15:35:03,0,NaN
,15:35:04,0,NaN
,15:35:05,0,NaN
,15:35:06,0,NaN
104,15:35:07,1.733333333,1.733333333
,15:35:08,0,NaN
,15:35:09,0,NaN
,15:35:10,0,NaN
,15:35:11,0,NaN
104,15:35:12,1.733333333,1.733333333
,15:35:13,0,NaN
,15:35:14,0,NaN
,15:35:15,0,NaN
,15:35:16,0,NaN
,15:35:17,0,NaN
,15:35:18,0,NaN
,15:35:19,0,NaN
,15:35:20,0,NaN
,15:35:21,0,NaN
,15:35:22,0,NaN
,15:35:23,0,NaN
,15:35:24,0,NaN
,15:35:25,0,NaN
,15:35:26,0,NaN
104,15:35:27,1.733333333,1.733333333
,15:35:28,0,NaN
,15:35:29,0,NaN
,15:35:30,0,NaN
,15:35:31,0,NaN
105,15:35:32,1.75,1.75
,15:35:33,0,NaN
,15:35:34,0,NaN
,15:35:35,0,NaN
,15:35:36,0,NaN
104,15:35:37,1.733333333,1.733333333
,15:35:38,0,NaN
,15:35:39,0,NaN
,15:35:40,0,NaN
,15:35:41,0,NaN
103,15:35:42,1.716666667,1.716666667
,15:35:43,0,NaN
,15:35:44,0,NaN
,15:35:45,0,NaN
,15:35:46,0,NaN
99,15:35:47,1.65,1.65
,15:35:48,0,NaN
,15:35:49,0,NaN
,15:35:50,0,NaN
,15:35:51,0,NaN
95,15:35:52,1.583333333,1.583333333
,15:35:53,0,NaN
,15:35:54,0,NaN
,15:35:55,0,NaN
,15:35:56,0,NaN
,15:35:57,0,NaN
,15:35:58,0,NaN
,15:35:59,0,NaN
,15:36:00,0,NaN
,15:36:01,0,NaN
97,15:36:02,1.616666667,1.616666667
,15:36:03,0,NaN
,15:36:04,0,NaN
,15:36:05,0,NaN
,15:36:06,0,NaN
103,15:36:07,1.716666667,1.716666667
,15:36:08,0,NaN
,15:36:09,0,NaN
,15:36:10,0,NaN
,15:36:11,0,NaN
107,15:36:12,1.783333333,1.783333333
,15:36:13,0,NaN
,15:36:14,0,NaN
,15:36:15,0,NaN
,15:36:16,0,NaN
,15:36:17,0,NaN
,15:36:18,0,NaN
,15:36:19,0,NaN
,15:36:20,0,NaN
,15:36:21,0,NaN
,15:36:22,0,NaN
,15:36:23,0,NaN
,15:36:24,0,NaN
,15:36:25,0,NaN
,15:36:26,0,NaN
107,15:36:27,1.783333333,1.783333333
,15:36:28,0,NaN
,15:36:29,0,NaN
,15:36:30,0,NaN
,15:36:31,0,NaN
108,15:36:32,1.8,1.8
,15:36:33,0,NaN
,15:36:34,0,NaN
,15:36:35,0,NaN
,15:36:36,0,NaN
109,15:36:37,1.816666667,1.816666667
,15:36:38,0,NaN
,15:36:39,0,NaN
,15:36:40,0,NaN
,15:36:41,0,NaN
110,15:36:42,1.833333333,1.833333333
,15:36:43,0,NaN
,15:36:44,0,NaN
,15:36:45,0,NaN
,15:36:46,0,NaN
,15:36:47,0,NaN
,15:36:48,0,NaN
,15:36:49,0,NaN
,15:36:50,0,NaN
,15:36:51,0,NaN
108,15:36:52,1.8,1.8
,15:36:53,0,NaN
,15:36:54,0,NaN
,15:36:55,0,NaN
,15:36:56,0,NaN
107,15:36:57,1.783333333,1.783333333
,15:36:58,0,NaN
,15:36:59,0,NaN
,15:37:00,0,NaN
,15:37:01,0,NaN
105,15:37:02,1.75,1.75
,15:37:03,0,NaN
,15:37:04,0,NaN
,15:37:05,0,NaN
,15:37:06,0,NaN
104,15:37:07,1.733333333,1.733333333
,15:37:08,0,NaN
,15:37:09,0,NaN
,15:37:10,0,NaN
,15:37:11,0,NaN
105,15:37:12,1.75,1.75
,15:37:13,0,NaN
,15:37:14,0,NaN
,15:37:15,0,NaN
,15:37:16,0,NaN
,15:37:17,0,NaN
,15:37:18,0,NaN
,15:37:19,0,NaN
,15:37:20,0,NaN
,15:37:21,0,NaN
108,15:37:22,1.8,1.8
,15:37:23,0,NaN
,15:37:24,0,NaN
,15:37:25,0,NaN
,15:37:26,0,NaN
111,15:37:27,1.85,1.85
,15:37:28,0,NaN
,15:37:29,0,NaN
,15:37:30,0,NaN
,15:37:31,0,NaN
110,15:37:32,1.833333333,1.833333333
,15:37:33,0,NaN
,15:37:34,0,NaN
,15:37:35,0,NaN
,15:37:36,0,NaN
103,15:37:37,1.716666667,1.716666667
,15:37:38,0,NaN
,15:37:39,0,NaN
,15:37:40,0,NaN
,15:37:41,0,NaN
101,15:37:42,1.683333333,1.683333333
,15:37:43,0,NaN
,15:37:44,0,NaN
,15:37:45,0,NaN
,15:37:46,0,NaN
99,15:37:47,1.65,1.65
,15:37:48,0,NaN
,15:37:49,0,NaN
,15:37:50,0,NaN
,15:37:51,0,NaN
98,15:37:52,1.633333333,1.633333333
,15:37:53,0,NaN
,15:37:54,0,NaN
,15:37:55,0,NaN
,15:37:56,0,NaN
97,15:37:57,1.616666667,1.616666667
,15:37:58,0,NaN
,15:37:59,0,NaN
,15:38:00,0,NaN
,15:38:01,0,NaN
98,15:38:02,1.633333333,1.633333333
,15:38:03,0,NaN
,15:38:04,0,NaN
,15:38:05,0,NaN
,15:38:06,0,NaN
,15:38:07,0,NaN
,15:38:08,0,NaN
,15:38:09,0,NaN
,15:38:10,0,NaN
,15:38:11,0,NaN
99,15:38:12,1.65,1.65
,15:38:13,0,NaN
,15:38:14,0,NaN
,15:38:15,0,NaN
,15:38:16,0,NaN
100,15:38:17,1.666666667,1.666666667
,15:38:18,0,NaN
,15:38:19,0,NaN
,15:38:20,0,NaN
,15:38:21,0,NaN
102,15:38:22,1.7,1.7
,15:38:23,0,NaN
,15:38:24,0,NaN
,15:38:25,0,NaN
,15:38:26,0,NaN
103,15:38:27,1.716666667,1.716666667
,15:38:28,0,NaN
,15:38:29,0,NaN
,15:38:30,0,NaN
,15:38:31,0,NaN
,15:38:32,0,NaN
,15:38:33,0,NaN
,15:38:34,0,NaN
,15:38:35,0,NaN
,15:38:36,0,NaN
102,15:38:37,1.7,1.7
,15:38:38,0,NaN
,15:38:39,0,NaN
,15:38:40,0,NaN
,15:38:41,0,NaN
101,15:38:42,1.683333333,1.683333333
,15:38:43,0,NaN
,15:38:44,0,NaN
,15:38:45,0,NaN
,15:38:46,0,NaN
,15:38:47,0,NaN
,15:38:48,0,NaN
,15:38:49,0,NaN
,15:38:50,0,NaN
,15:38:51,0,NaN
,15:38:52,0,NaN
,15:38:53,0,NaN
,15:38:54,0,NaN
,15:38:55,0,NaN
,15:38:56,0,NaN
101,15:38:57,1.683333333,1.683333333
,15:38:58,0,NaN
,15:38:59,0,NaN
,15:39:00,0,NaN
,15:39:01,0,NaN
99,15:39:02,1.65,1.65
,15:39:03,0,NaN
,15:39:04,0,NaN
,15:39:05,0,NaN
,15:39:06,0,NaN
,15:39:07,0,NaN
,15:39:08,0,NaN
,15:39:09,0,NaN
